IDKEY,RAW_SCHOOL_CODE,BLOCK_ID,BLOCK_NAME,BLOCK_YEAR_BUILT,WALL_2020,WALL_2021,WALL_2022,WALL_2023,WIRING_2020,WIRING_2021,WIRING_2022,WIRING_2023,PILLAR_2020,PILLAR_2021,PILLAR_2022,PILLAR_2023,PAINT_2020,PAINT_2021,PAINT_2022,PAINT_2023,ENROL_DIS20,TEACHER_DIS20,ENROL_DIS21,TEACHER_DIS21,ENROL_DIS22,TEACHER_DIS22,ENROL_JUN23,TEACHER_JUN23,SCHOOL_LEVEL,SCHOOL_CODE,SCHOOL_YEAR_BUILT,SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_GRADE,SCHOOL_TYPE_CODE,FUND,COORDINATE_XX,COORDINATE_YY,WALL_TREND,WALL_RATE,WALL_AVG,WIRING_TREND,WIRING_RATE,WIRING_AVG,PILLAR_TREND,PILLAR_RATE,PILLAR_AVG,PAINT_TREND,PAINT_RATE,PAINT_AVG,BUILDING_AGE,MAINTENANCE_RISK_SCORE,AGE_RISK_SCORE,TOTAL_RISK_SCORE,RISK_LEVEL,RISK_LABEL,RAPID_DETERIORATION,PREDICTED_ISSUES,ISSUE_IMPACTS,PRIMARY_ISSUE
sdv-id-GTUkQC,TBA3027,4,KANTIN,1976.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,848,84,965,80,1155,81,1020,87,Rendah,TBA3020,10/30/1956,SEKOLAH KEBANGSAAN PUSAT CHABANG TIGA,SK,B,101,SK,103.1400511,5.299062479,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,-1,-0.3,1.1,50.0,0.0,20,20.0,2,LOW,False,None,{},None
sdv-id-ejaUSr,TBA3014,5,KANTIN,1984.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1,373,20,293,22,223,21,314,19,Rendah,TBA3011,11/07/1979,SEKOLAH KEBANGSAAN GONG KAPAS,SK,A,101,SK,103.11886,5.304321313,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.3,2.4,42.0,0.45,15,15.45,2,LOW,False,None,{},None
sdv-id-UriMRj,TBA3093,7,D(KANTIN),1971.0,1.0,,1.0,1,4.0,,2.0,2,,3.0,1.0,1.0,1.0,1.0,2.0,2,1652,143,1582,139,1615,145,1486,140,Menengah,TBA3094,04/14/1920,SEKOLAH KEBANGSAAN SULTAN SULAIMAN 1,SMK,A,201,SK,103.1650234,5.307074716,0,0.0,1.0,-2,-0.7142857142857143,2.25,-2,-1.0,1.4444444444444446,1,0.4,1.7000000000000002,55.0,5.71,20,25.71,2,LOW,False,None,{},None
sdv-id-wQnjHn,TEA3085,8,,1990.0,1.0,,1.0,1,,2.0,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2,837,90,818,90,1008,91,897,90,Menengah,TEA3085,03/28/1947,SEKOLAH MENENGAH KEBANGSAAN BELARA,SK,A,102,SK,103.1595753,5.307083937,0,0.0,1.0,1,0.5,2.7777777777777777,0,0.0,1.0,1,0.4,1.7000000000000002,36.0,15.19,10,25.189999999999998,2,LOW,True,Wiring (Deteriorating),"{""Wiring"": ""MEDIUM""}",Wiring
sdv-id-GUdYUa,TBB3090,7,KANTIN 1,2010.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1,1490,109,1419,107,1565,108,1449,108,Rendah,TBB3090,12/06/2013,SEKOLAH MENENGAH KEBANGSAAN BUKIT BESAR,SMK,A,201,SBK,103.1657253,5.271356499,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,-1,-0.2,1.4,16.0,0.0,3,3.0,1,VERY_LOW,False,None,{},None
sdv-id-JUhQDk,TEA3125,8,,1979.0,1.0,,,2,,,4.0,4,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,781,58,768,52,856,52,767,51,Rendah,TEA3128,06/24/1947,SEKOLAH MENENGAH KEBANGSAAN SULTAN SULAIMAN,SMK,A,209,SK,103.037203,5.288756403,1,0.3333333333333333,1.8,0,0.0,4.0,0,0.0,1.0,-1,-0.3,1.1,47.0,24.06,15,39.06,3,MEDIUM,False,Wiring,"{""Wiring"": ""MEDIUM""}",Wiring
sdv-id-vcumrt,TEB3093,7,KANTIN,1993.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,1281,97,1085,90,1099,94,1118,88,Menengah,TEB3093,08/20/1963,SMA (ATAS) SULTAN ZAINAL ABIDIN,SMK,A,209,SK,103.1030402,5.321927121,0,0.0,1.0,1,0.3,1.4000000000000001,0,0.0,1.0,0,0.0,1.5,33.0,4.14,10,14.14,1,VERY_LOW,False,None,{},None
sdv-id-sLjyRh,TFT3001,7,BLOK H,2012.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,,1.0,1.0,1.0,1.0,1.0,1,601,64,705,64,745,68,628,66,Rendah,TFT3001,12/03/1995,SMA KHAIRIAH,SK,A,101,SBK,103.1291983,5.303910661,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,14.0,0.0,3,3.0,1,VERY_LOW,False,None,{},None
sdv-id-MDQnwB,TBA3027,10,KANTIN,2005.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,,1.0,1.0,1.0,1.0,1.0,1.0,1,511,46,646,51,476,49,587,50,Menengah,TBA3028,12/06/1953,SEKOLAH KEBANGSAAN UNDANG,SK,B,101,SK,103.1618834,5.296506874,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,21.0,0.0,6,6.0,1,VERY_LOW,False,None,{},None
sdv-id-OXeYzC,TBB3088,7,KANTIN,1985.0,1.0,1.0,1.0,1,1.0,1.0,3.0,1,1.0,1.0,1.0,1.0,,1.0,,3,235,21,322,22,296,22,339,22,Rendah,TBA3102,02/11/2007,SEKOLAH KEBANGSAAN SULTAN SULAIMAN 2,SK,B,101,SK,103.0944974,5.229300146,0,0.0,1.0,0,0.2,1.6,0,0.0,1.0,2,1.0,2.333333333333333,41.0,4.89,15,19.89,2,LOW,False,Paint (Rapid Deterioration),"{""Paint"": ""LOW""}",Paint
